Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
TOI3757b,Transit,NIRSPEC.BOTS+PRISM,182.991705754938,56.0639017446638,3.438753,12.0,758.441759554736
TOI3757b,Transit,NIRSPEC.BOTS+PRISM,182.991705754938,56.0639017446638,3.438753,12.0,758.441759554736
TOI3984Ab,Transit,NIRSPEC.BOTS+PRISM,134.540995118371,21.7309076275854,4.353326,7.9,561.983951561917
TOI3984Ab,Transit,NIRSPEC.BOTS+PRISM,134.540995118371,21.7309076275854,4.353326,7.9,561.983951561917
TOI3984Ab,Transit,NIRSPEC.BOTS+PRISM,134.540995118371,21.7309076275854,4.353326,7.9,561.983951561917
TOI1231b,Transit,NIRISS.SOSS,96.453832945206,1.78151849865045,24.245586,3.65,327.6680700466
TOI421b,Transit,NIRSPEC.BOTS+G395M,85.5349023576265,7.32524982621516,5.19672,2.68,980.22572887844
TOI5205b,Transit,NIRSPEC.BOTS+PRISM,104.241893104754,154.933059438441,1.630757,11.6,735.518864475956
TOI5205b,Transit,NIRSPEC.BOTS+PRISM,104.241893104754,154.933059438441,1.630757,11.6,735.518864475956
TOI5205b,Transit,NIRSPEC.BOTS+PRISM,104.241893104754,154.933059438441,1.630757,11.6,735.518864475956
TOI5205b,Transit,NIRSPEC.BOTS+PRISM,104.241893104754,154.933059438441,1.630757,11.6,735.518864475956
TOI5293Ab,Transit,NIRSPEC.BOTS+PRISM,91.1331259957929,51.1196973230241,2.930289,11.9,674.238923637874
TOI5293Ab,Transit,NIRSPEC.BOTS+PRISM,91.1331259957929,51.1196973230241,2.930289,11.9,674.238923637874
TOI561b,PhaseC,NIRSPEC.BOTS+G395H,12.2409450800679,7.90160600672693,0.4465688,1.37,2307.29885262735
TOI776c,Transit,NIRSPEC.BOTS+G395H,55.8926987924309,1.53464513251329,15.6653,2.02,413.61265295191
TOI776c,Transit,NIRSPEC.BOTS+G395H,55.8926987924309,1.53464513251329,15.6653,2.02,413.61265295191
TOI776c,Transit,NIRSPEC.BOTS+G395H,55.8926987924309,1.53464513251329,15.6653,2.02,413.61265295191
TOI776c,Transit,NIRSPEC.BOTS+G395H,55.8926987924309,1.53464513251329,15.6653,2.02,413.61265295191
TOI824b,Eclipse,NIRSPEC.BOTS+G395H,67.7184960369818,22.8379300945209,1.39298,2.926,1252.47509812897
TOI824b,Eclipse,NIRSPEC.BOTS+G395H,67.7184960369818,22.8379300945209,1.39298,2.926,1252.47509812897
TOI836b,Transit,NIRSPEC.BOTS+G395H,77.4039206083028,7.38827505467091,3.81673,1.704,828.383518930844
